sku,qty
A-2200,10
A-2357,10
A-2203,10
A-2182,10
A-2248,10
A-2210,10
A-2180,10
A-2247,10
A-1317,2
A-523,10
A-553,10
A-4507,1
A-5513,4
A-1849,1
A-5488,1
A-4567,1
A-2566,4
A-557,1
A-558,1
A-197,2
A-1138,1
A-1141,1
A-1317,2
A-2290,10
A-2248,10
A-2203,10
A-2198,10
A-2939,1
A-166,1
A-484,2
A-535,10
A-553,10
A-5713,2
A-413,1
A-1306,2
A-4788,1
A-4560,4
A-645,1
