sku,qty
A-197,1
A-2566,12
A-553,20
A-5513,4
A-261,1
A-157,1
A-2248,30
A-2339,20
A-2630,10
A-2329,10
A-2341,10
A-037,5
A-857,5
A-4560,4
A-141,8
A-881,4
A-2200,10
A-2245,10
A-2203,20
A-2338,10
A-2198,10
A-1306,2
A-2939,1
A-484,2
A-5713,2
